image,group_id,original_split,assigned_split,class_ids,timestamp
camera_20260901_151149_854447_jpg.rf.30ef993250e16efcab237bcd5286b94e.jpg,0,train,train,,2026-09-01T15:11:49.854447
camera_20260901_151151_774580_jpg.rf.665e2c79939284a4cda214b2b0dfeb6b.jpg,0,train,train,,2026-09-01T15:11:51.774580
camera_20260901_151153_167680_jpg.rf.2ebe63bd20a8caa242c6617ba1de4636.jpg,0,train,train,,2026-09-01T15:11:53.167680
camera_20260901_151154_239877_jpg.rf.608ce19a0534f380b87994084829028e.jpg,0,train,train,,2026-09-01T15:11:54.239877
camera_20260901_151155_630269_jpg.rf.71d7b7e43cbc3a67e2370792002c5f35.jpg,0,train,train,,2026-09-01T15:11:55.630269
camera_20260901_151157_487938_jpg.rf.68a67b64d2c11fe2c1129a594a1cc3a9.jpg,0,train,train,,2026-09-01T15:11:57.487938
camera_20260901_151158_446104_jpg.rf.0605bb0eb3366b96fb7f60986bac1d15.jpg,0,train,train,,2026-09-01T15:11:58.446104
camera_20260901_151202_509963_jpg.rf.7ac0dfc4145dced67a2459557a8daf34.jpg,0,train,train,,2026-09-01T15:12:02.509963
camera_20260901_151203_615562_jpg.rf.fb051947ee5d7beab60fb4aca80b4a12.jpg,0,train,train,,2026-09-01T15:12:03.615562
camera_20260901_151204_830339_jpg.rf.d7aa4aa4e4f3885e5adcdc0835cb94f8.jpg,0,train,train,,2026-09-01T15:12:04.830339
camera_20260901_151207_359473_jpg.rf.d1194ff356e3008f137738914aedfd4b.jpg,0,train,train,,2026-09-01T15:12:07.359473
camera_20260901_151208_480072_jpg.rf.ab9e36c0419c197ee2d142cccbb84edb.jpg,0,train,train,,2026-09-01T15:12:08.480072
camera_20260901_151214_319643_jpg.rf.8ccefd7398792016102b71fb04567f11.jpg,0,train,train,,2026-09-01T15:12:14.319643
camera_20260901_151215_567891_jpg.rf.e19dc738e20d30932d512fc2ae9919ae.jpg,0,train,train,,2026-09-01T15:12:15.567891
camera_20260901_151216_671456_jpg.rf.edfa4b0cc9de65cbd6c5ef492a3c4807.jpg,0,train,train,,2026-09-01T15:12:16.671456
camera_20260901_151218_494447_jpg.rf.cf8b91a0e6cd7329fe06a87bbc71aee1.jpg,0,train,train,,2026-09-01T15:12:18.494447
camera_20260901_151220_014252_jpg.rf.3526bd431d0d51f34fe4dd490bd9fc1c.jpg,0,train,train,,2026-09-01T15:12:20.014252
camera_20260901_151221_070257_jpg.rf.cffec1dddcc33fd1fd150624fe397836.jpg,0,train,train,,2026-09-01T15:12:21.070257
camera_20260901_151222_335406_jpg.rf.61eaf34f4ea499491b4d7d72cfcf1a4c.jpg,0,train,train,,2026-09-01T15:12:22.335406
