source_image,expected_class,v2_top_class,v2_top_confidence,v2_top_correct,v2_expected_found,v2_expected_confidence,v2_detection_count,v2_wrong_detection_count,v3_top_class,v3_top_confidence,v3_top_correct,v3_expected_found,v3_expected_confidence,v3_detection_count,v3_wrong_detection_count,selection_change
000_1_0002.png,speed-limit-5,speed-limit-5,0.977776,True,True,0.977776,1,0,speed-limit-5,0.964428,True,True,0.964428,1,0,False
000_1_0013.png,speed-limit-5,speed-limit-5,0.97281,True,True,0.97281,1,0,speed-limit-5,0.963781,True,True,0.963781,1,0,False
000_1_0018.png,speed-limit-5,speed-limit-5,0.978876,True,True,0.978876,1,0,speed-limit-5,0.959196,True,True,0.959196,1,0,False
000_1_0034.png,speed-limit-5,speed-limit-5,0.974692,True,True,0.974692,1,0,speed-limit-5,0.957583,True,True,0.957583,1,0,False
001_0004.png,speed-limit-15,speed-limit-15,0.982416,True,True,0.982416,1,0,speed-limit-15,0.941256,True,True,0.941256,1,0,False
001_1_0009.png,speed-limit-15,speed-limit-15,0.974756,True,True,0.974756,1,0,speed-limit-15,0.963333,True,True,0.963333,1,0,False
002_0036.png,speed-limit-30,speed-limit-30,0.962454,True,True,0.962454,1,0,speed-limit-30,0.929904,True,True,0.929904,1,0,False
002_1_0010.png,speed-limit-30,speed-limit-30,0.952021,True,True,0.952021,1,0,speed-limit-30,0.894727,True,True,0.894727,1,0,False
003_1_0034.png,speed-limit-40,speed-limit-40,0.961551,True,True,0.961551,1,0,speed-limit-40,0.960016,True,True,0.960016,1,0,False
004_1_0020.png,speed-limit-50,speed-limit-50,0.947185,True,True,0.947185,1,0,speed-limit-50,0.955592,True,True,0.955592,1,0,False
005_0030.png,speed-limit-60,speed-limit-60,0.898911,True,True,0.898911,1,0,speed-limit-60,0.941228,True,True,0.941228,1,0,False
005_1_0027.png,speed-limit-60,speed-limit-60,0.925625,True,True,0.925625,1,0,speed-limit-60,0.957627,True,True,0.957627,1,0,False
007_1_0006.png,speed-limit-80,speed-limit-80,0.908404,True,True,0.908404,1,0,speed-limit-80,0.910289,True,True,0.910289,1,0,False
008_1_0008_1_j.png,no-straight-or-left,no-straight-or-left,0.910494,True,True,0.910494,1,0,no-straight-or-left,0.959733,True,True,0.959733,1,0,False
010_1_0013.png,no-straight,no-straight,0.969356,True,True,0.969356,1,0,no-straight,0.949315,True,True,0.949315,1,0,False
011_0029.png,no-left,no-left,0.971319,True,True,0.971319,1,0,no-left,0.97133,True,True,0.97133,1,0,False
011_1_0019.png,no-left,no-left,0.942316,True,True,0.942316,1,0,no-left,0.949614,True,True,0.949614,1,0,False
012_1_0015.png,no-left-and-right,no-left-and-right,0.975957,True,True,0.975957,1,0,no-left-and-right,0.958283,True,True,0.958283,1,0,False
013_0013.png,no-right,no-right,0.932027,True,True,0.932027,1,0,no-right,0.936205,True,True,0.936205,1,0,False
014_1_0028.png,no-overtaking,no-overtaking,0.957226,True,True,0.957226,1,0,no-overtaking,0.962646,True,True,0.962646,1,0,False
015_1_0001.png,no-uturn,,,False,False,,0,0,no-uturn,0.616823,True,True,0.616823,1,0,True
016_1_0014.png,no-cars,no-cars,0.965523,True,True,0.965523,1,0,no-cars,0.914512,True,True,0.914512,1,0,False
017_1_0017.png,no-horn,no-horn,0.935517,True,True,0.935517,1,0,no-horn,0.91955,True,True,0.91955,1,0,False
020_0002_j.png,straight-or-right,straight-or-right,0.940533,True,True,0.940533,2,1,straight-or-right,0.912285,True,True,0.912285,1,0,False
020_0003.png,straight-or-right,straight-or-right,0.937385,True,True,0.937385,1,0,straight-or-right,0.873817,True,True,0.873817,1,0,False
020_0004.png,straight-or-right,straight-or-right,0.934756,True,True,0.934756,1,0,straight-or-right,0.842072,True,True,0.842072,1,0,False
020_0006.png,straight-or-right,straight-or-right,0.920129,True,True,0.920129,1,0,straight-or-right,0.858823,True,True,0.858823,1,0,False
021_0002_j.png,straight-only,straight-only,0.959919,True,True,0.959919,1,0,straight-only,0.97981,True,True,0.97981,1,0,False
021_0003.png,straight-only,straight-only,0.956358,True,True,0.956358,1,0,straight-only,0.965166,True,True,0.965166,1,0,False
021_0004.png,straight-only,straight-only,0.945095,True,True,0.945095,1,0,straight-only,0.946814,True,True,0.946814,1,0,False
021_0004_j.png,straight-only,straight-only,0.938538,True,True,0.938538,1,0,straight-only,0.966389,True,True,0.966389,1,0,False
022_0005.png,left-turn-only,left-turn-only,0.965191,True,True,0.965191,1,0,left-turn-only,0.978484,True,True,0.978484,1,0,False
023_1_0002_1_j.png,left-or-right,left-or-right,0.754058,True,True,0.754058,1,0,left-or-right,0.870577,True,True,0.870577,1,0,False
023_1_0003.png,left-or-right,left-or-right,0.923872,True,True,0.923872,1,0,left-or-right,0.97059,True,True,0.97059,1,0,False
023_1_0004.png,left-or-right,left-or-right,0.922964,True,True,0.922964,1,0,left-or-right,0.958655,True,True,0.958655,1,0,False
023_1_0005.png,left-or-right,left-or-right,0.944419,True,True,0.944419,1,0,left-or-right,0.947168,True,True,0.947168,1,0,False
024_1_0016.png,right-turn-only,right-turn-only,0.931942,True,True,0.931942,1,0,right-turn-only,0.950843,True,True,0.950843,1,0,False
024_1_0017.png,right-turn-only,right-turn-only,0.9345,True,True,0.9345,1,0,right-turn-only,0.947971,True,True,0.947971,1,0,False
026_1_0016.png,pass-right,pass-right,0.932318,True,True,0.932318,1,0,pass-right,0.966634,True,True,0.966634,1,0,False
027_0002.png,roundabout,roundabout,0.926831,True,True,0.926831,1,0,roundabout,0.952385,True,True,0.952385,1,0,False
027_0010.png,roundabout,roundabout,0.922585,True,True,0.922585,1,0,roundabout,0.919145,True,True,0.919145,1,0,False
027_0012.png,roundabout,roundabout,0.923787,True,True,0.923787,1,0,roundabout,0.946294,True,True,0.946294,1,0,False
028_0202.png,cars-only,cars-only,0.971631,True,True,0.971631,1,0,cars-only,0.949757,True,True,0.949757,1,0,False
028_1_0007.png,cars-only,cars-only,0.980724,True,True,0.980724,1,0,cars-only,0.963593,True,True,0.963593,1,0,False
028_1_0216.png,cars-only,cars-only,0.980463,True,True,0.980463,1,0,cars-only,0.95568,True,True,0.95568,1,0,False
029_1_0015.png,use-horn,use-horn,0.974852,True,True,0.974852,1,0,use-horn,0.805888,True,True,0.805888,1,0,False
030_1_0002.png,bicycle-path,bicycle-path,0.973284,True,True,0.973284,1,0,bicycle-path,0.968013,True,True,0.968013,1,0,False
030_1_0018_1_j.png,bicycle-path,bicycle-path,0.970647,True,True,0.970647,1,0,bicycle-path,0.946819,True,True,0.946819,1,0,False
030_1_0023.png,bicycle-path,bicycle-path,0.954757,True,True,0.954757,1,0,bicycle-path,0.953255,True,True,0.953255,1,0,False
031_0011.png,uturn-lane,uturn-lane,0.946545,True,True,0.946545,1,0,uturn-lane,0.943927,True,True,0.943927,1,0,False
031_1_0020.png,uturn-lane,uturn-lane,0.962128,True,True,0.962128,1,0,uturn-lane,0.951663,True,True,0.951663,1,0,False
032_1_0001_1_j.png,pass-obstacle-on-either-side,pass-obstacle-on-either-side,0.962862,True,True,0.962862,1,0,pass-obstacle-on-either-side,0.980991,True,True,0.980991,1,0,False
032_1_0002_1_j.png,pass-obstacle-on-either-side,pass-obstacle-on-either-side,0.968786,True,True,0.968786,1,0,pass-obstacle-on-either-side,0.982336,True,True,0.982336,1,0,False
033_1_0001.png,traffic-light-ahead,traffic-light-ahead,0.936177,True,True,0.936177,1,0,traffic-light-ahead,0.950209,True,True,0.950209,1,0,False
